=== SENSOR FLUSH @ 2026-04-21T05:54:57.745237600 ===
SENS-001|SOIL_MOISTURE|38.5 %|2026-04-21T05:54:53.736157200
SENS-002|SOIL_TEMP|24.2 °C|2026-04-21T05:54:53.737161200
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:54:53.737161200
SENS-001|SOIL_MOISTURE|38.8 %|2026-04-21T05:54:55.738377
SENS-002|SOIL_TEMP|24.7 °C|2026-04-21T05:54:55.741888400
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:54:55.742996
SENS-001|SOIL_MOISTURE|39.1 %|2026-04-21T05:54:57.744180400
SENS-002|SOIL_TEMP|25.2 °C|2026-04-21T05:54:57.745237600
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:54:57.745237600

=== SENSOR FLUSH @ 2026-04-21T05:55:03.783293 ===
SENS-001|SOIL_MOISTURE|39.4 %|2026-04-21T05:54:59.773755800
SENS-002|SOIL_TEMP|25.7 °C|2026-04-21T05:54:59.774714100
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:54:59.775713500
SENS-001|SOIL_MOISTURE|39.7 %|2026-04-21T05:55:01.776923700
SENS-002|SOIL_TEMP|26.2 °C|2026-04-21T05:55:01.778508800
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:01.780479200
SENS-001|SOIL_MOISTURE|40.0 %|2026-04-21T05:55:03.781396700
SENS-002|SOIL_TEMP|24.2 °C|2026-04-21T05:55:03.782291100
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:03.783293

=== SENSOR FLUSH @ 2026-04-21T05:55:09.794643600 ===
SENS-001|SOIL_MOISTURE|40.3 %|2026-04-21T05:55:05.787076500
SENS-002|SOIL_TEMP|24.7 °C|2026-04-21T05:55:05.787547200
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:05.787547200
SENS-001|SOIL_MOISTURE|40.6 %|2026-04-21T05:55:07.788747500
SENS-002|SOIL_TEMP|25.2 °C|2026-04-21T05:55:07.789785300
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:07.790671400
SENS-001|SOIL_MOISTURE|40.9 %|2026-04-21T05:55:09.791787300
SENS-002|SOIL_TEMP|25.7 °C|2026-04-21T05:55:09.792639400
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:09.794643600

=== SENSOR FLUSH @ 2026-04-21T05:55:15.806988400 ===
SENS-001|SOIL_MOISTURE|41.2 %|2026-04-21T05:55:11.797338600
SENS-002|SOIL_TEMP|26.2 °C|2026-04-21T05:55:11.798667100
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:11.799692900
SENS-001|SOIL_MOISTURE|38.5 %|2026-04-21T05:55:13.800681500
SENS-002|SOIL_TEMP|24.2 °C|2026-04-21T05:55:13.801682
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:13.801682
SENS-001|SOIL_MOISTURE|38.8 %|2026-04-21T05:55:15.803156100
SENS-002|SOIL_TEMP|24.7 °C|2026-04-21T05:55:15.804988800
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:15.805986700

=== SENSOR FLUSH @ 2026-04-21T05:55:21.822013 ===
SENS-001|SOIL_MOISTURE|39.1 %|2026-04-21T05:55:17.809069300
SENS-002|SOIL_TEMP|25.2 °C|2026-04-21T05:55:17.809963300
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:17.811964200
SENS-001|SOIL_MOISTURE|39.4 %|2026-04-21T05:55:19.814761600
SENS-002|SOIL_TEMP|25.7 °C|2026-04-21T05:55:19.815823400
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:19.816780400
SENS-001|SOIL_MOISTURE|39.7 %|2026-04-21T05:55:21.817980200
SENS-002|SOIL_TEMP|26.2 °C|2026-04-21T05:55:21.820015800
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:21.821013100

=== SENSOR FLUSH @ 2026-04-21T05:55:27.839278100 ===
SENS-001|SOIL_MOISTURE|40.0 %|2026-04-21T05:55:23.826712700
SENS-002|SOIL_TEMP|24.2 °C|2026-04-21T05:55:23.827759800
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:23.828780100
SENS-001|SOIL_MOISTURE|40.3 %|2026-04-21T05:55:25.830162300
SENS-002|SOIL_TEMP|24.7 °C|2026-04-21T05:55:25.831097900
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:25.832120300
SENS-001|SOIL_MOISTURE|40.6 %|2026-04-21T05:55:27.834654100
SENS-002|SOIL_TEMP|25.2 °C|2026-04-21T05:55:27.836236500
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:27.838276700

=== SENSOR FLUSH @ 2026-04-21T05:55:33.853867100 ===
SENS-001|SOIL_MOISTURE|40.9 %|2026-04-21T05:55:29.842357400
SENS-002|SOIL_TEMP|25.7 °C|2026-04-21T05:55:29.843319200
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:29.844200800
SENS-001|SOIL_MOISTURE|41.2 %|2026-04-21T05:55:31.846562200
SENS-002|SOIL_TEMP|26.2 °C|2026-04-21T05:55:31.847404100
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:31.848423800
SENS-001|SOIL_MOISTURE|38.5 %|2026-04-21T05:55:33.850879600
SENS-002|SOIL_TEMP|24.2 °C|2026-04-21T05:55:33.851875800
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:33.853867100

=== SENSOR FLUSH @ 2026-04-21T05:55:39.867635600 ===
SENS-001|SOIL_MOISTURE|38.8 %|2026-04-21T05:55:35.857259800
SENS-002|SOIL_TEMP|24.7 °C|2026-04-21T05:55:35.858258300
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:35.859258600
SENS-001|SOIL_MOISTURE|39.1 %|2026-04-21T05:55:37.862065
SENS-002|SOIL_TEMP|25.2 °C|2026-04-21T05:55:37.863077800
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:37.864077900
SENS-001|SOIL_MOISTURE|39.4 %|2026-04-21T05:55:39.866070500
SENS-002|SOIL_TEMP|25.7 °C|2026-04-21T05:55:39.867069500
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:39.867069500

=== SENSOR FLUSH @ 2026-04-21T05:55:45.879630100 ===
SENS-001|SOIL_MOISTURE|39.7 %|2026-04-21T05:55:41.869114200
SENS-002|SOIL_TEMP|26.2 °C|2026-04-21T05:55:41.870955400
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:41.870955400
SENS-001|SOIL_MOISTURE|40.0 %|2026-04-21T05:55:43.873161
SENS-002|SOIL_TEMP|24.2 °C|2026-04-21T05:55:43.874161300
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:43.875154600
SENS-001|SOIL_MOISTURE|40.3 %|2026-04-21T05:55:45.877771800
SENS-002|SOIL_TEMP|24.7 °C|2026-04-21T05:55:45.878553700
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:45.879630100

=== SENSOR FLUSH @ 2026-04-21T05:55:51.890730300 ===
SENS-001|SOIL_MOISTURE|40.6 %|2026-04-21T05:55:47.881408500
SENS-002|SOIL_TEMP|25.2 °C|2026-04-21T05:55:47.882427900
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:47.883439500
SENS-001|SOIL_MOISTURE|40.9 %|2026-04-21T05:55:49.884095800
SENS-002|SOIL_TEMP|25.7 °C|2026-04-21T05:55:49.886091100
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:49.886091100
SENS-001|SOIL_MOISTURE|41.2 %|2026-04-21T05:55:51.889157300
SENS-002|SOIL_TEMP|26.2 °C|2026-04-21T05:55:51.889718700
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:51.889718700

=== SENSOR FLUSH @ 2026-04-21T05:55:57.901981800 ===
SENS-001|SOIL_MOISTURE|38.5 %|2026-04-21T05:55:53.893394
SENS-002|SOIL_TEMP|24.2 °C|2026-04-21T05:55:53.893394
SENS-003|PH_PROBE|6.7 pH|2026-04-21T05:55:53.894264500
SENS-001|SOIL_MOISTURE|38.8 %|2026-04-21T05:55:55.896762200
SENS-002|SOIL_TEMP|24.7 °C|2026-04-21T05:55:55.897781600
SENS-003|PH_PROBE|6.8 pH|2026-04-21T05:55:55.899547
SENS-001|SOIL_MOISTURE|39.1 %|2026-04-21T05:55:57.900350100
SENS-002|SOIL_TEMP|25.2 °C|2026-04-21T05:55:57.901424900
SENS-003|PH_PROBE|6.9 pH|2026-04-21T05:55:57.901981800

=== SENSOR FLUSH @ 2026-04-21T05:56:03.910153200 ===
SENS-001|SOIL_MOISTURE|39.4 %|2026-04-21T05:55:59.903879400
